2019-06-04	11:59
B=-10
 Prad (A)	U 4-5 (V)	Napiecie (V)
5.0683E-5	-8.7584E-7	-0.0000E+0
8.0356E-3	1.8286E-6	-1.0000E-2
1.6718E-2	9.8345E-7	-2.0000E-2
2.6270E-2	1.7441E-6	-3.0000E-2
3.6956E-2	1.9244E-6	-4.0000E-2
4.8129E-2	4.4541E-6	-4.0000E-2
6.0006E-2	5.7162E-6	-6.0000E-2
7.2746E-2	7.1586E-6	-7.0000E-2
8.5751E-2	9.9870E-6	-7.0000E-2
9.9494E-2	1.3013E-5	-9.0000E-2
1.1379E-1	1.5790E-5	-1.0000E-1
1.2887E-1	1.7695E-5	-1.1000E-1
1.4428E-1	2.1515E-5	-1.2000E-1
1.6031E-1	2.4906E-5	-1.3000E-1
1.7697E-1	2.9448E-5	-1.4000E-1
1.9472E-1	3.4186E-5	-1.4000E-1
2.1216E-1	3.8243E-5	-1.6000E-1
2.3040E-1	4.4536E-5	-1.7000E-1
2.4979E-1	5.0537E-5	-1.7000E-1
2.6892E-1	5.6114E-5	-1.9000E-1
2.9000E-1	6.3890E-5	-2.0000E-1
3.1014E-1	7.0138E-5	-2.1000E-1
3.3001E-1	7.8443E-5	-2.2000E-1
3.5074E-1	8.6556E-5	-2.3000E-1
3.7146E-1	9.6174E-5	-2.4000E-1
3.9199E-1	1.0332E-4	-2.5000E-1
4.1242E-1	1.1043E-4	-2.6000E-1
4.3283E-1	1.2058E-4	-2.7000E-1
4.5362E-1	1.2922E-4	-2.8000E-1
4.7414E-1	1.3859E-4	-2.9000E-1
4.9531E-1	1.4893E-4	-3.0000E-1
5.1595E-1	1.5920E-4	-3.1000E-1
5.3644E-1	1.6914E-4	-3.2000E-1
5.5768E-1	1.7967E-4	-3.3000E-1
5.7824E-1	1.8996E-4	-3.4000E-1
5.9920E-1	2.0043E-4	-3.5000E-1
6.2042E-1	2.1156E-4	-3.6000E-1
6.4092E-1	2.2466E-4	-3.7000E-1
6.6156E-1	2.3430E-4	-3.8000E-1
6.8261E-1	2.4538E-4	-3.9000E-1
7.0335E-1	2.5834E-4	-4.0000E-1
7.2436E-1	2.7129E-4	-4.1000E-1
7.4494E-1	2.8350E-4	-4.2000E-1
7.6643E-1	2.9578E-4	-4.3000E-1
7.8705E-1	3.0720E-4	-4.4000E-1
8.0730E-1	3.2221E-4	-4.5000E-1
8.2843E-1	3.3247E-4	-4.6000E-1
