2019-06-04	11:59
B=-10
 Prad (A)	U 4-5 (V)	Napiecie (V)
8.4906E-1	3.4632E-4	-4.7000E-1
8.6960E-1	3.5960E-4	-4.8000E-1
8.9026E-1	3.7660E-4	-4.9000E-1
9.1117E-1	3.8829E-4	-5.1000E-1
9.3164E-1	4.0117E-4	-5.1000E-1
9.5250E-1	4.1694E-4	-5.2000E-1
9.7332E-1	4.2907E-4	-5.3000E-1
9.9409E-1	4.4550E-4	-5.4000E-1
9.9956E-1	4.4885E-4	-5.5000E-1
9.9956E-1	4.4897E-4	-5.5000E-1
9.9955E-1	4.4829E-4	-5.5000E-1
9.9957E-1	4.4746E-4	-5.4000E-1
9.9955E-1	4.4901E-4	-5.4000E-1
9.9953E-1	4.4903E-4	-5.4000E-1
9.9957E-1	4.4879E-4	-5.4000E-1
9.9954E-1	4.5003E-4	-5.4000E-1
9.9955E-1	4.4723E-4	-5.4000E-1
9.9956E-1	4.5018E-4	-5.4000E-1
9.9954E-1	4.4873E-4	-5.4000E-1
9.9954E-1	4.4831E-4	-5.4000E-1
9.9955E-1	4.4875E-4	-5.4000E-1
9.9955E-1	4.4734E-4	-5.4000E-1
9.9954E-1	4.4992E-4	-5.3000E-1
9.9954E-1	4.5021E-4	-5.4000E-1
-5.5376E-4	-1.0505E-6	0.0000E+0
-2.1483E-2	-5.3247E-8	1.0000E-2
-4.1643E-2	-2.9661E-6	2.0000E-2
-6.2370E-2	-4.8423E-6	3.0000E-2
-8.3411E-2	-8.2567E-6	3.0000E-2
-1.0356E-1	-1.1778E-5	5.0000E-2
-1.2431E-1	-1.6156E-5	6.0000E-2
-1.4526E-1	-2.1120E-5	7.0000E-2
-1.6562E-1	-2.6067E-5	8.0000E-2
-1.8606E-1	-3.1047E-5	9.0000E-2
-2.0672E-1	-3.6929E-5	9.0000E-2
-2.2741E-1	-4.3386E-5	1.1000E-1
-2.4782E-1	-4.7916E-5	1.2000E-1
-2.6836E-1	-5.5939E-5	1.3000E-1
-2.8925E-1	-6.2875E-5	1.4000E-1
-3.0967E-1	-7.0267E-5	1.5000E-1
-3.2995E-1	-7.7710E-5	1.6000E-1
-3.5115E-1	-8.5666E-5	1.7000E-1
-3.7167E-1	-9.3176E-5	1.8000E-1
-3.9181E-1	-1.0253E-4	1.9000E-1
-4.1318E-1	-1.0835E-4	2.0000E-1
-4.3368E-1	-1.1967E-4	2.1000E-1
-4.5410E-1	-1.3026E-4	2.2000E-1
-4.7489E-1	-1.3863E-4	2.3000E-1
-4.9537E-1	-1.4869E-4	2.4000E-1
-5.1596E-1	-1.5797E-4	2.5000E-1
-5.3600E-1	-1.6627E-4	2.6000E-1
-5.5717E-1	-1.7875E-4	2.7000E-1
-5.7775E-1	-1.8954E-4	2.8000E-1
-5.9791E-1	-2.0025E-4	2.9000E-1
-6.1896E-1	-2.1183E-4	3.0000E-1
-6.3944E-1	-2.2177E-4	3.1000E-1
-6.5998E-1	-2.3385E-4	3.2000E-1
-6.8088E-1	-2.4415E-4	3.3000E-1
-7.0124E-1	-2.5775E-4	3.4000E-1
-7.2163E-1	-2.6922E-4	3.5000E-1
-7.4272E-1	-2.8194E-4	3.6000E-1
-7.6294E-1	-2.9252E-4	3.7000E-1
-7.8339E-1	-3.0668E-4	3.8000E-1
-8.0431E-1	-3.1711E-4	3.9000E-1
-8.2439E-1	-3.3011E-4	4.0000E-1
-8.4504E-1	-3.4358E-4	4.1000E-1
-8.6516E-1	-3.5559E-4	4.3000E-1
-8.8635E-1	-3.6944E-4	4.4000E-1
-9.0648E-1	-3.8552E-4	4.4000E-1
-9.2689E-1	-3.9788E-4	4.5000E-1
-9.4791E-1	-4.1227E-4	4.6000E-1
-9.6829E-1	-4.2647E-4	4.7000E-1
-9.8891E-1	-4.3870E-4	4.8000E-1
-9.9955E-1	-4.4719E-4	4.9000E-1
-9.9954E-1	-4.4719E-4	4.9000E-1
-9.9957E-1	-4.4659E-4	4.9000E-1
-9.9956E-1	-4.4783E-4	4.9000E-1
-9.9953E-1	-4.4911E-4	4.9000E-1
-9.9955E-1	-4.4829E-4	4.9000E-1
-9.9955E-1	-4.4997E-4	4.9000E-1
-9.9954E-1	-4.4687E-4	4.9000E-1
-9.9954E-1	-4.4980E-4	4.9000E-1
-9.9955E-1	-4.4833E-4	4.9000E-1
-9.9954E-1	-4.4549E-4	4.9000E-1
-9.9952E-1	-4.4804E-4	4.9000E-1
