2019-06-04	11:45
B=0
 Prad (A)	U 4-5 (V)	Napiecie (V)
-2.1492E-5	8.2571E-7	-0.0000E+0
3.7506E-2	4.9892E-7	-1.0000E-2
7.5191E-2	-7.0131E-8	-4.0000E-2
1.1244E-1	2.5640E-8	-6.0000E-2
1.5044E-1	1.1580E-7	-7.0000E-2
1.8837E-1	6.5668E-7	-1.0000E-1
2.2650E-1	9.6657E-7	-1.2000E-1
2.6493E-1	5.9472E-7	-1.4000E-1
3.0300E-1	8.7561E-9	-1.5000E-1
3.4113E-1	1.6990E-6	-1.8000E-1
3.8037E-1	4.0315E-7	-2.0000E-1
4.1888E-1	2.0031E-7	-2.1000E-1
4.5756E-1	1.4382E-8	-2.4000E-1
4.9622E-1	-7.0117E-7	-2.6000E-1
5.3502E-1	-1.3211E-7	-2.7000E-1
5.7427E-1	-2.5212E-9	-3.0000E-1
6.1310E-1	-4.0255E-7	-3.2000E-1
6.5229E-1	-4.7017E-7	-3.4000E-1
6.9176E-1	4.0877E-7	-3.6000E-1
7.3070E-1	9.8893E-8	-3.8000E-1
7.7002E-1	4.2004E-7	-4.0000E-1
8.0900E-1	4.8202E-7	-4.2000E-1
8.4878E-1	1.1580E-7	-4.4000E-1
8.8852E-1	-8.3075E-7	-4.6000E-1
9.2773E-1	-4.3636E-7	-4.7000E-1
9.6761E-1	-1.3211E-7	-5.0000E-1
9.9962E-1	4.7639E-7	-5.2000E-1
9.9959E-1	-1.3774E-7	-5.2000E-1
9.9959E-1	7.7501E-7	-5.2000E-1
9.9961E-1	1.3271E-7	-5.2000E-1
9.9958E-1	-1.9408E-7	-5.2000E-1
9.9958E-1	3.9189E-7	-5.2000E-1
9.9960E-1	8.7487E-9	-5.2000E-1
9.9957E-1	1.0624E-6	-5.2000E-1
9.9958E-1	6.8485E-7	-5.2000E-1
9.9960E-1	5.7780E-7	-5.2000E-1
-3.7842E-4	5.3815E-8	0.0000E+0
-4.1681E-2	1.3103E-6	2.0000E-2
-8.3355E-2	-3.4621E-7	4.0000E-2
-1.2437E-1	1.2708E-6	6.0000E-2
-1.6552E-1	-2.2225E-7	7.0000E-2
-2.0669E-1	6.5086E-8	1.0000E-1
-2.4804E-1	3.0736E-7	1.2000E-1
-2.8937E-1	1.8340E-7	1.3000E-1
-3.3036E-1	-4.7606E-8	1.6000E-1
-3.7164E-1	-4.5890E-7	1.8000E-1
-4.1326E-1	7.6349E-8	1.9000E-1
-4.5425E-1	-2.5044E-7	2.1000E-1
-4.9550E-1	3.6933E-7	2.4000E-1
-5.3656E-1	4.5384E-7	2.6000E-1
-5.7762E-1	5.7216E-7	2.8000E-1
-6.1930E-1	6.6231E-7	3.0000E-1
-6.5997E-1	-3.7438E-7	3.2000E-1
-7.0115E-1	-4.5326E-7	3.4000E-1
-7.4301E-1	-2.3916E-7	3.6000E-1
-7.8351E-1	1.0060E-6	3.8000E-1
-8.2500E-1	-8.3638E-7	3.9000E-1
-8.6611E-1	1.3666E-6	4.2000E-1
-9.0699E-1	-4.2509E-7	4.4000E-1
-9.4880E-1	7.2992E-7	4.6000E-1
-9.8984E-1	-2.9551E-7	4.8000E-1
-9.9962E-1	3.0736E-7	4.9000E-1
-9.9959E-1	8.7623E-8	4.9000E-1
-9.9960E-1	2.1158E-7	4.9000E-1
-9.9961E-1	-5.4341E-7	4.9000E-1
-9.9959E-1	-1.0505E-6	4.9000E-1
-9.9957E-1	2.4539E-7	4.9000E-1
-9.9958E-1	8.9896E-7	4.9000E-1
-9.9957E-1	-5.0397E-7	4.9000E-1
-9.9956E-1	-4.3074E-7	4.9000E-1
-9.9958E-1	1.7212E-7	4.9000E-1
-9.9956E-1	4.2535E-8	4.9000E-1
