2019-06-04	11:49
B=10
 Prad (A)	U 4-5 (V)	Napiecie (V)
8.2573E-5	-4.3636E-7	-0.0000E+0
2.9142E-2	2.2962E-6	-2.0000E-2
5.8782E-2	4.9556E-6	-3.0000E-2
8.8807E-2	9.7053E-6	-6.0000E-2
1.1959E-1	1.4292E-5	-8.0000E-2
1.5082E-1	2.1853E-5	-9.0000E-2
1.8246E-1	2.9673E-5	-1.2000E-1
2.1507E-1	3.9184E-5	-1.4000E-1
2.4753E-1	4.9072E-5	-1.6000E-1
2.8107E-1	5.9647E-5	-1.7000E-1
3.1554E-1	7.1902E-5	-2.0000E-1
3.5036E-1	8.4370E-5	-2.1000E-1
3.8643E-1	9.9042E-5	-2.3000E-1
4.2352E-1	1.1505E-4	-2.6000E-1
4.6192E-1	1.3294E-4	-2.8000E-1
5.0126E-1	1.5160E-4	-3.0000E-1
5.4081E-1	1.7109E-4	-3.2000E-1
5.8128E-1	1.9129E-4	-3.4000E-1
6.2217E-1	2.1309E-4	-3.5000E-1
6.6271E-1	2.3570E-4	-3.8000E-1
7.0360E-1	2.5889E-4	-4.0000E-1
7.4449E-1	2.8218E-4	-4.2000E-1
7.8491E-1	3.0809E-4	-4.4000E-1
8.2629E-1	3.3382E-4	-4.6000E-1
8.6690E-1	3.5886E-4	-4.8000E-1
9.0836E-1	3.8594E-4	-4.9000E-1
9.4958E-1	4.1339E-4	-5.2000E-1
9.8997E-1	4.4004E-4	-5.4000E-1
9.9955E-1	4.4569E-4	-5.5000E-1
9.9957E-1	4.4549E-4	-5.5000E-1
9.9956E-1	4.4550E-4	-5.5000E-1
-6.0126E-4	2.2847E-7	0.0000E+0
-2.1404E-2	-1.0392E-6	1.0000E-2
-4.1662E-2	-2.5774E-6	2.0000E-2
-6.2457E-2	-6.5157E-6	2.0000E-2
-8.3353E-2	-8.3525E-6	4.0000E-2
-1.0404E-1	-1.2432E-5	5.0000E-2
-1.2454E-1	-1.6517E-5	5.0000E-2
-1.4565E-1	-2.1103E-5	7.0000E-2
-1.6613E-1	-2.5272E-5	8.0000E-2
-1.8682E-1	-3.1126E-5	8.0000E-2
-2.0725E-1	-3.7453E-5	1.0000E-1
-2.2822E-1	-4.3691E-5	1.1000E-1
-2.4841E-1	-4.9336E-5	1.1000E-1
-2.6935E-1	-5.5094E-5	1.3000E-1
-2.8991E-1	-6.2182E-5	1.4000E-1
-3.1069E-1	-6.9501E-5	1.4000E-1
-3.3126E-1	-7.7474E-5	1.6000E-1
-3.5205E-1	-8.5497E-5	1.7000E-1
-3.7282E-1	-9.3475E-5	1.8000E-1
-3.9323E-1	-1.0220E-4	1.8000E-1
-4.1395E-1	-1.1037E-4	2.0000E-1
-4.3475E-1	-1.1994E-4	2.1000E-1
-4.5534E-1	-1.2789E-4	2.2000E-1
-4.7590E-1	-1.3840E-4	2.3000E-1
-4.9668E-1	-1.4851E-4	2.4000E-1
-5.1724E-1	-1.5660E-4	2.5000E-1
-5.3753E-1	-1.6813E-4	2.6000E-1
-5.5861E-1	-1.7908E-4	2.7000E-1
-5.7896E-1	-1.8938E-4	2.8000E-1
-5.9977E-1	-1.9981E-4	2.9000E-1
-6.2063E-1	-2.1027E-4	3.0000E-1
-6.4100E-1	-2.1928E-4	3.1000E-1
-6.6165E-1	-2.3311E-4	3.2000E-1
-6.8235E-1	-2.4336E-4	3.3000E-1
-7.0296E-1	-2.5647E-4	3.4000E-1
-7.2343E-1	-2.6945E-4	3.5000E-1
-7.4434E-1	-2.8039E-4	3.6000E-1
-7.6496E-1	-2.9360E-4	3.7000E-1
-7.8521E-1	-3.0550E-4	3.8000E-1
-8.0618E-1	-3.1798E-4	3.9000E-1
-8.2683E-1	-3.3221E-4	4.0000E-1
-8.4697E-1	-3.4367E-4	4.2000E-1
-8.6766E-1	-3.5778E-4	4.2000E-1
-8.8858E-1	-3.7312E-4	4.3000E-1
-9.0892E-1	-3.8469E-4	4.4000E-1
-9.2931E-1	-3.9763E-4	4.5000E-1
-9.5049E-1	-4.1324E-4	4.6000E-1
-9.7055E-1	-4.2526E-4	4.7000E-1
-9.9138E-1	-4.4096E-4	4.8000E-1
-9.9961E-1	-4.4559E-4	4.8000E-1
-9.9957E-1	-4.4792E-4	4.9000E-1
-9.9959E-1	-4.4725E-4	4.9000E-1
-9.9960E-1	-4.4848E-4	4.9000E-1
-9.9956E-1	-4.4605E-4	4.9000E-1
-9.9958E-1	-4.4359E-4	4.9000E-1
-9.9958E-1	-4.4544E-4	4.9000E-1
-9.9956E-1	-4.4533E-4	4.9000E-1
-9.9957E-1	-4.4778E-4	4.9000E-1
-9.9957E-1	-4.4672E-4	4.9000E-1
-9.9955E-1	-4.4700E-4	4.9000E-1
-9.9959E-1	-4.4505E-4	4.9000E-1
