2019-06-04	11:56
B=-5
 Prad (A)	U 4-5 (V)	Napiecie (V)
2.7785E-4	1.7776E-7	-0.0000E+0
1.4447E-2	-4.0256E-7	-1.0000E-2
2.9371E-2	3.4679E-7	-2.0000E-2
4.4357E-2	1.3328E-6	-2.0000E-2
6.0389E-2	-2.7296E-7	-4.0000E-2
7.6255E-2	2.3412E-7	-5.0000E-2
9.2464E-2	1.4117E-6	-5.0000E-2
1.0929E-1	3.1299E-7	-7.0000E-2
1.2617E-1	-3.9694E-7	-8.0000E-2
1.4309E-1	2.8481E-7	-8.0000E-2
1.5989E-1	1.2145E-6	-1.0000E-1
1.7741E-1	1.4004E-6	-1.1000E-1
1.9479E-1	1.2821E-6	-1.2000E-1
2.1229E-1	1.3722E-6	-1.3000E-1
2.2996E-1	2.2793E-6	-1.4000E-1
2.4785E-1	3.5527E-6	-1.5000E-1
2.6538E-1	1.4680E-6	-1.6000E-1
2.8421E-1	3.3949E-6	-1.7000E-1
3.0272E-1	4.7246E-6	-1.8000E-1
3.2125E-1	4.6795E-6	-1.8000E-1
3.4046E-1	5.3950E-6	-2.0000E-1
3.5914E-1	6.0881E-6	-2.1000E-1
3.7845E-1	8.4939E-6	-2.1000E-1
3.9764E-1	1.0257E-5	-2.3000E-1
4.1676E-1	1.0460E-5	-2.4000E-1
4.3591E-1	1.1677E-5	-2.5000E-1
4.5513E-1	1.3615E-5	-2.6000E-1
4.7475E-1	1.5503E-5	-2.7000E-1
4.9418E-1	1.6562E-5	-2.8000E-1
5.1390E-1	1.8821E-5	-2.9000E-1
5.3344E-1	2.1137E-5	-3.0000E-1
5.5318E-1	2.4213E-5	-3.1000E-1
5.7263E-1	2.6101E-5	-3.2000E-1
5.9302E-1	2.6816E-5	-3.3000E-1
6.1252E-1	3.1560E-5	-3.4000E-1
6.3252E-1	3.4180E-5	-3.5000E-1
6.5296E-1	3.6958E-5	-3.6000E-1
6.7240E-1	3.9454E-5	-3.7000E-1
6.9237E-1	4.2913E-5	-3.8000E-1
