2019-06-04	11:07
Pokojowa, +-
 Prad (A)	U 4-5 (V)	Napiecie (V)
9.9961E-1	2.8816E-2	-6.3000E-1
9.9957E-1	2.8822E-2	-6.4000E-1
9.9960E-1	2.8830E-2	-6.4000E-1
9.9958E-1	2.8834E-2	-6.4000E-1
9.9957E-1	2.8841E-2	-6.4000E-1
9.9958E-1	2.8846E-2	-6.4000E-1
9.9958E-1	2.8851E-2	-6.4000E-1
9.9959E-1	2.8857E-2	-6.4000E-1
-2.7999E-4	-9.6653E-6	0.0000E+0
-8.3415E-2	-2.4073E-3	3.0000E-2
-1.6633E-1	-4.8049E-3	9.0000E-2
-2.4961E-1	-7.1992E-3	1.5000E-1
-3.3272E-1	-9.6028E-3	1.7000E-1
-4.1556E-1	-1.1992E-2	2.4000E-1
-4.9898E-1	-1.4399E-2	3.0000E-1
-5.8177E-1	-1.6785E-2	3.5000E-1
-6.6510E-1	-1.9192E-2	3.9000E-1
-7.4795E-1	-2.1585E-2	4.5000E-1
-8.3122E-1	-2.3983E-2	5.0000E-1
-9.1443E-1	-2.6392E-2	5.3000E-1
-9.9701E-1	-2.8790E-2	6.0000E-1
-9.9962E-1	-2.8866E-2	6.1000E-1
-9.9961E-1	-2.8871E-2	6.1000E-1
-9.9957E-1	-2.8877E-2	6.1000E-1
-9.9959E-1	-2.8881E-2	6.1000E-1
-9.9958E-1	-2.8885E-2	6.1000E-1
-9.9957E-1	-2.8889E-2	6.0000E-1
-9.9958E-1	-2.8894E-2	6.0000E-1
-9.9959E-1	-2.8898E-2	6.1000E-1
1.5587E-4	7.9136E-6	-0.0000E+0
1.5907E-2	4.5753E-4	-1.0000E-2
3.1278E-2	8.9931E-4	-2.0000E-2
4.6478E-2	1.3435E-3	-2.0000E-2
6.2511E-2	1.7953E-3	-4.0000E-2
7.8027E-2	2.2378E-3	-5.0000E-2
9.3418E-2	2.6964E-3	-5.0000E-2
1.0948E-1	3.1448E-3	-7.0000E-2
1.2503E-1	3.6005E-3	-8.0000E-2
1.4057E-1	4.0546E-3	-9.0000E-2
1.5649E-1	4.4979E-3	-1.0000E-1
1.7218E-1	4.9637E-3	-1.1000E-1
1.8800E-1	5.4148E-3	-1.2000E-1
2.0373E-1	5.8667E-3	-1.3000E-1
2.1970E-1	6.3301E-3	-1.4000E-1
2.3546E-1	6.7803E-3	-1.5000E-1
2.5128E-1	7.2339E-3	-1.5000E-1
2.6753E-1	7.6951E-3	-1.7000E-1
2.8308E-1	8.1512E-3	-1.8000E-1
2.9897E-1	8.6051E-3	-1.9000E-1
3.1512E-1	9.0635E-3	-1.9000E-1
3.3067E-1	9.5303E-3	-2.1000E-1
3.4675E-1	9.9774E-3	-2.2000E-1
3.6286E-1	1.0447E-2	-2.3000E-1
3.7852E-1	1.0905E-2	-2.4000E-1
3.9451E-1	1.1357E-2	-2.5000E-1
4.1025E-1	1.1819E-2	-2.6000E-1
4.2653E-1	1.2283E-2	-2.7000E-1
4.4248E-1	1.2746E-2	-2.8000E-1
4.5833E-1	1.3198E-2	-2.8000E-1
4.7450E-1	1.3669E-2	-3.0000E-1
4.9046E-1	1.4125E-2	-3.1000E-1
5.0622E-1	1.4576E-2	-3.2000E-1
5.2253E-1	1.5054E-2	-3.3000E-1
5.3851E-1	1.5505E-2	-3.4000E-1
5.5437E-1	1.5965E-2	-3.5000E-1
5.7045E-1	1.6444E-2	-3.6000E-1
5.8642E-1	1.6894E-2	-3.7000E-1
6.0245E-1	1.7364E-2	-3.8000E-1
6.1847E-1	1.7822E-2	-3.9000E-1
6.3453E-1	1.8290E-2	-4.0000E-1
6.5051E-1	1.8747E-2	-4.1000E-1
6.6616E-1	1.9205E-2	-4.2000E-1
6.8266E-1	1.9678E-2	-4.3000E-1
6.9856E-1	2.0130E-2	-4.4000E-1
7.1452E-1	2.0601E-2	-4.5000E-1
7.3083E-1	2.1073E-2	-4.6000E-1
7.4685E-1	2.1530E-2	-4.7000E-1
7.6281E-1	2.1997E-2	-4.8000E-1
7.7889E-1	2.2465E-2	-4.9000E-1
7.9495E-1	2.2931E-2	-5.0000E-1
8.1074E-1	2.3393E-2	-5.2000E-1
8.2721E-1	2.3869E-2	-5.2000E-1
8.4326E-1	2.4330E-2	-5.3000E-1
8.5919E-1	2.4796E-2	-5.4000E-1
8.7543E-1	2.5264E-2	-5.5000E-1
8.9147E-1	2.5729E-2	-5.6000E-1
9.0710E-1	2.6198E-2	-5.7000E-1
9.2352E-1	2.6658E-2	-5.8000E-1
9.3978E-1	2.7137E-2	-5.9000E-1
9.5566E-1	2.7603E-2	-6.0000E-1
9.7159E-1	2.8061E-2	-6.1000E-1
9.8795E-1	2.8546E-2	-6.2000E-1
9.9958E-1	2.8881E-2	-6.3000E-1
9.9956E-1	2.8885E-2	-6.3000E-1
9.9957E-1	2.8889E-2	-6.3000E-1
9.9959E-1	2.8893E-2	-6.3000E-1
9.9956E-1	2.8897E-2	-6.3000E-1
9.9960E-1	2.8901E-2	-6.3000E-1
9.9958E-1	2.8905E-2	-6.3000E-1
9.9953E-1	2.8909E-2	-6.3000E-1
9.9958E-1	2.8912E-2	-6.3000E-1
9.9955E-1	2.8916E-2	-6.3000E-1
9.9955E-1	2.8921E-2	-6.3000E-1
9.9958E-1	2.8923E-2	-6.3000E-1
9.9955E-1	2.8926E-2	-6.3000E-1
9.9955E-1	2.8931E-2	-6.3000E-1
9.9956E-1	2.8932E-2	-6.3000E-1
9.9957E-1	2.8936E-2	-6.3000E-1
9.9956E-1	2.8939E-2	-6.3000E-1
9.9957E-1	2.8942E-2	-6.3000E-1
9.9957E-1	2.8945E-2	-6.3000E-1
9.9956E-1	2.8947E-2	-6.3000E-1
9.9958E-1	2.8950E-2	-6.3000E-1
9.9955E-1	2.8953E-2	-6.3000E-1
9.9954E-1	2.8955E-2	-6.3000E-1
9.9957E-1	2.8957E-2	-6.3000E-1
9.9958E-1	2.8960E-2	-6.3000E-1
9.9955E-1	2.8962E-2	-6.3000E-1
9.9956E-1	2.8964E-2	-6.3000E-1
9.9957E-1	2.8967E-2	-6.3000E-1
9.9955E-1	2.8969E-2	-6.3000E-1
9.9952E-1	2.8971E-2	-6.3000E-1
9.9955E-1	2.8974E-2	-6.3000E-1
9.9953E-1	2.8975E-2	-6.3000E-1
9.9953E-1	2.8978E-2	-6.3000E-1
9.9956E-1	2.8980E-2	-6.3000E-1
9.9954E-1	2.8982E-2	-6.3000E-1
9.9957E-1	2.8983E-2	-6.3000E-1
9.9957E-1	2.8985E-2	-6.3000E-1
9.9953E-1	2.8987E-2	-6.3000E-1
-5.1111E-4	-1.1198E-5	0.0000E+0
-1.7271E-2	-4.9813E-4	1.0000E-2
-3.3817E-2	-9.7401E-4	2.0000E-2
-5.0331E-2	-1.4440E-3	3.0000E-2
-6.6824E-2	-1.9408E-3	3.0000E-2
-8.3596E-2	-2.4081E-3	5.0000E-2
-1.0006E-1	-2.8922E-3	6.0000E-2
-1.1669E-1	-3.3822E-3	6.0000E-2
-1.3353E-1	-3.8552E-3	7.0000E-2
-1.4978E-1	-4.3315E-3	9.0000E-2
-1.6630E-1	-4.8123E-3	9.0000E-2
-1.8309E-1	-5.2853E-3	1.0000E-1
-1.9968E-1	-5.7690E-3	1.2000E-1
